[14130.1, 14131.6, 14123, 14121.5; 16245, 16251.1, 16253.2, 16247.2]
[14133.8, 14135.9, 14127.5, 14125.4; 16257.2, 16263.1, 16266.1, 16260.2]
[14138.4, 14141.5, 14133.8, 14130.7; 16269.7, 16275.1, 16279.5, 16274.1]
[14161.2, 14161.6, 14161.6, 14161.2; 16055.8, 16055.8, 16056.2, 16056.2]
[14166, 14166.2, 14166.1, 14165.9; 16049.9, 16050, 16050.2, 16050]
[14271.1, 14270.9, 14270.7, 14270.9; 15984.3, 15984.5, 15984.4, 15984.2]
[14480.8, 14480.6, 14480.4, 14480.6; 16052.4, 16052.6, 16052.4, 16052.3]
[14452.8, 14452.7, 14452.5, 14452.7; 16023.8, 16024, 16023.8, 16023.6]
[14522.7, 14522.5, 14522.3, 14522.5; 16242.1, 16242.2, 16242.1, 16241.9]
[14530.7, 14531, 14531, 14530.7; 16202.9, 16202.9, 16203.2, 16203.2]
[14154.4, 14154.6, 14154.4, 14154.2; 16052.1, 16052.2, 16052.4, 16052.2]
[14508.7, 14508.5, 14508.4, 14508.5; 16081, 16081.2, 16081.1, 16080.9]
[14536.5, 14536.5, 14536.3, 14536.3; 16189.6, 16189.8, 16189.8, 16189.6]
[14424.9, 14424.7, 14424.5, 14424.7; 15995.2, 15995.4, 15995.2, 15995]
[14157.5, 14157.9, 14157.9, 14157.5; 16039.4, 16039.4, 16039.8, 16039.8]
[14487.3, 14461, 14479.6, 14505.9; 16353, 16324.6, 16307.4, 16335.8]
[14459.4, 14467.5, 14472, 14463.9; 16352.6, 16348.4, 16357.2, 16361.4]
[14545, 14545.4, 14545.4, 14545; 16194.8, 16194.8, 16195.1, 16195.1]
[14101, 14098.8, 14100.1, 14102.2; 16242.3, 16232.3, 16232.1, 16242]
[14098.8, 14096.7, 14097.9, 14100.1; 16232.5, 16222.6, 16222.3, 16232.2]
[14128.6, 14122.8, 14123.8, 14129.7; 16306, 16297.7, 16297, 16305.3]
[14545.6, 14545.4, 14545.3, 14545.4; 16217.8, 16218, 16217.8, 16217.6]
[14103, 14100.7, 14102.1, 14104.4; 16252.1, 16242, 16241.6, 16251.7]
[14096.7, 14094.5, 14095.8, 14098; 16222.7, 16212.8, 16212.5, 16222.5]
[14548.3, 14548.3, 14548.1, 14548.1; 16182.7, 16183, 16182.9, 16182.7]
[14122.8, 14117.3, 14118.4, 14123.9; 16297.8, 16289.2, 16288.5, 16297.1]
[14105.2, 14103.1, 14104.3, 14106.5; 16261.8, 16251.9, 16251.6, 16261.5]
[14294, 14293.8, 14293.6, 14293.8; 15960, 15960.2, 15960.1, 15959.9]
[14160.4, 14160.6, 14160.5, 14160.3; 16024, 16024.2, 16024.4, 16024.2]
[14117.4, 14112.3, 14113.4, 14118.5; 16289.3, 16280.5, 16279.9, 16288.7]
[14094.4, 14092.2, 14093.6, 14095.8; 16212.9, 16202.8, 16202.5, 16212.6]
[14108, 14105.2, 14106.5, 14109.2; 16271.5, 16261.7, 16261.3, 16271.1]
[14139.4, 14141, 14135.5, 14134; 16319.1, 16321.4, 16325.1, 16322.8]
[14536.6, 14536.5, 14536.3, 14536.5; 16109.6, 16109.8, 16109.7, 16109.5]
